Name,Brand,Price,Image,URL
Полосатая футболка с логотипом,Adidas,$6600,https://cdn-images.farfetch-contents.com/23/01/44/45/23014445_53203093_480.jpg,/kz/shopping/men/adidas--item-23014445.aspx?storeid=9462
Футболка с логотипом,Adidas,$12200,https://cdn-images.farfetch-contents.com/22/75/15/64/22751564_52804361_480.jpg,/kz/shopping/men/adidas--item-22751564.aspx?storeid=14288
Футболка с принтом из коллаборации с Song for the Mute,Adidas,$10100,https://cdn-images.farfetch-contents.com/22/06/12/18/22061218_51867528_480.jpg,/kz/shopping/men/adidas-song-for-the-mute-item-22061218.aspx?storeid=9462
Футболка из органического хлопка из коллаборации с Wales Bonner,Adidas,$9000,https://cdn-images.farfetch-contents.com/22/05/31/18/22053118_51866473_480.jpg,/kz/shopping/men/adidas-wales-bonner-item-22053118.aspx?storeid=9007
Футболка из коллаборации с Feng Chen Wang,Nike,$7300,https://cdn-images.farfetch-contents.com/22/01/47/51/22014751_52130051_480.jpg,/kz/shopping/men/nike-feng-chen-wang-item-22014751.aspx?storeid=12850
Футболка Germany 1996 Away из джерси,Adidas,$11100,https://cdn-images.farfetch-contents.com/22/45/32/39/22453239_52440448_480.jpg,/kz/shopping/men/adidas-germany-1996-away-item-22453239.aspx?storeid=9462
Футболка Germany 1996 Home из джерси,Adidas,$11100,https://cdn-images.farfetch-contents.com/22/45/32/36/22453236_52428796_480.jpg,/kz/shopping/men/adidas-germany-1996-home-item-22453236.aspx?storeid=9462
Футболка Swoosh из коллаборации с Jacquemus,Nike,$9400,https://cdn-images.farfetch-contents.com/23/45/13/94/23451394_53488526_480.jpg,/kz/shopping/men/nike-swoosh-jacquemus-item-23451394.aspx?storeid=12850
Футболка Spain 1996 из джерси,Adidas,$11100,https://cdn-images.farfetch-contents.com/22/62/41/27/22624127_48165670_480.jpg,/kz/shopping/men/adidas-spain-1996-item-22624127.aspx?storeid=9462
Футболка с тисненым логотипом,Adidas,$12200,https://cdn-images.farfetch-contents.com/22/81/99/22/22819922_52859656_480.jpg,/kz/shopping/men/adidas--item-22819922.aspx?storeid=14288
Футболка с вышитым логотипом,Giorgio Armani,$16400,https://cdn-images.farfetch-contents.com/13/57/24/08/13572408_16332304_480.jpg,/kz/shopping/men/giorgio-armani--item-13572408.aspx?storeid=11719
Футболка Flames Bike 3-Stripes,Adidas,$8700,https://cdn-images.farfetch-contents.com/23/04/78/52/23047852_53329727_480.jpg,/kz/shopping/men/adidas-flames-bike-3-stripes-item-23047852.aspx?storeid=9462






